ID,Project_Code,PQ,PO_SO,ASN_DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule_Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Delivery_Delay_Days,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD,Year,Month,Quarter,Month_Name
821,PC-51240,PQS,PO683318,ASN21330,Zimbabwe,PMO - SA,Direct Drop,DDP,Air,HIV test,Sub-1,Cipla Ltd.,Medicine O 100mg,Type-11,Brand-A,100mg,Capsule,90,5265,96427.31,72.94,4.03,Matrix,No,2015-04-30,2015-07-09,2015-07-12,2015-07-15,3,4480.35,8968.76,964.27,2015,7,3,July
822,PC-93807,PQ,PO808421,ASN90516,Uganda,PMO - SA,Direct Drop,FCA,Ocean,ARV,Sub-2,Matrix Laboratories,Medicine P 100mg,Type-12,Brand-B,500mg,Capsule,60,8000,57331.84,5.75,6.99,Ranbaxy,Yes,2015-05-29,2015-08-08,2015-08-03,2015-08-05,-5,4729.66,2979.32,573.32,2015,8,3,August
823,PC-43434,PQ,PO495215,ASN82553,South Africa,PMO - US,From RDC,EXW,Air Charter,ANTIMALARIA,Sub-3,Cipla Ltd.,Medicine Q 100mg,Type-13,Brand-C,50mg,Tablet,120,1778,67898.36,51.05,2.57,Aurobindo Unit III,No,2015-06-29,2015-09-26,2015-10-10,2015-10-11,14,2147.09,9528.25,678.98,2015,10,4,October
824,PC-79724,PQS,PO245921,ASN51353,Uganda,PMO - SA,From RDC,CIF,Air,HIV test,Sub-4,Hetero Unit III India,Medicine R 100mg,Type-14,,200mg,Capsule,60,4428,86494.34,193.13,8.67,Aurobindo Unit III,No,2015-03-20,2015-05-31,2015-06-01,2015-06-01,1,2842.43,9245.79,864.94,2015,6,2,June
825,PC-85697,PQ,PO569655,ASN26011,Zambia,PMO - NG,Direct Drop,CIF,Ocean,Safety,Sub-5,Hetero Unit III India,Medicine S 100mg,Type-15,Brand-E,200mg,Capsule,100,6660,6206.54,167.82,9.34,Aurobindo Unit III,No,2015-07-03,2015-09-20,2015-09-27,2015-09-29,7,7584.77,5901.97,62.07,2015,9,3,September
826,PC-38732,PQ,PO870448,ASN93537,Nigeria,PMO - SA,Direct Drop,FCA,Ocean,Emergency,Sub-6,Matrix Laboratories,Medicine T 100mg,Type-1,Brand-F,500mg,Capsule,90,6164,91308.26,437.63,2.75,Ranbaxy,Yes,2015-04-17,2015-05-27,2015-05-27,2015-05-28,0,6020.45,8814.37,913.08,2015,5,2,May
827,PC-21314,PQ,PO606220,ASN70985,Haiti,PMO - NG,Direct Drop,FCA,Ocean,ANTIMALARIALS,Sub-7,Matrix Laboratories,Medicine U 100mg,Type-2,Brand-G,200mg,Tablet,30,365,27845.18,46.35,1.14,Matrix,Yes,2015-07-13,2015-09-26,2015-09-26,2015-09-29,0,110.74,74.14,278.45,2015,9,3,September
828,PC-33954,PQS,PO939232,ASN27044,Côte d'Ivoire,PMO - NG,From RDC,CIF,Ocean,ARV,Sub-8,Hetero Unit III India,Medicine V 100mg,Type-3,Brand-H,200mg,Capsule,120,6433,6647.32,224.14,2.09,Aurobindo Unit III,No,2015-02-19,2015-04-11,2015-04-10,2015-04-11,-1,7842.03,9141.94,66.47,2015,4,2,April
829,PC-67108,PQ,PO891877,ASN48292,Nigeria,PMO - NG,From RDC,EXW,Ocean,Safety,Sub-9,Hetero Unit III India,Medicine W 100mg,Type-4,Brand-I,50mg,Capsule,120,2504,24523.09,479.12,6.37,Cipla,Yes,2015-03-24,2015-06-20,2015-06-25,2015-06-25,5,3035.37,2013.17,245.23,2015,6,2,June
830,PC-97044,PQS,PO773400,ASN15250,South Africa,PMO - NG,Direct Drop,EXW,Air,ANTIMALARIALS,Sub-10,Matrix Laboratories,Medicine X 100mg,Type-5,Brand-J,100mg,Tablet,30,8430,59049.64,253.94,2.79,Hetero Unit III,Yes,2015-09-14,2015-11-10,2015-11-05,2015-11-07,-5,3005.17,10900.25,590.5,2015,11,4,November
831,PC-97505,PQ,PO608524,ASN33289,Uganda,PMO - SA,From RDC,EXW,Air,Emergency,Sub-11,Matrix Laboratories,Medicine Y 100mg,Type-6,Brand-A,100mg,Capsule,120,9657,5736.85,70.54,6.42,Aurobindo Unit III,No,2015-07-24,2015-09-19,2015-09-19,2015-09-22,0,12532.96,26002.18,57.37,2015,9,3,September
832,PC-46668,PQ,PO886678,ASN43087,Vietnam,PMO - NG,Direct Drop,DDP,Ocean,Emergency,Sub-12,Matrix Laboratories,Medicine Z 100mg,Type-7,Brand-B,200mg,Solution,30,2052,1075.71,149.18,3.57,Aurobindo Unit III,No,2015-08-31,2015-10-29,2015-10-26,2015-10-26,-3,551.7,302.52,10.76,2015,10,4,October
833,PC-33061,PQ,PO131153,ASN85952,Uganda,PMO - US,Direct Drop,FCA,Air,ANTIMALARIA,Sub-13,Ranbaxy Fine Chemicals Limited,Medicine A 100mg,Type-8,Brand-C,50mg,Capsule,30,8364,64296.9,315.26,9.18,Hetero Unit III,Yes,2015-02-24,2015-04-13,2015-04-18,2015-04-21,5,2471.53,5177.91,642.97,2015,4,2,April
834,PC-89252,PQ,PO891644,ASN46368,Zimbabwe,PMO - NG,From RDC,DDP,Ocean,ANTIMALARIALS,Sub-14,,Medicine B 100mg,Type-9,Brand-D,500mg,Capsule,60,262,45885.35,10.93,4.58,Cipla,Yes,2015-09-12,2015-11-03,2015-11-08,2015-11-12,5,145.36,95.39,458.85,2015,11,4,November
835,PC-49749,Non-PQ,PO234411,ASN80815,Nigeria,PMO - US,From RDC,DDP,Ocean,Emergency,Sub-15,Hetero Unit III India,Medicine C 100mg,Type-10,Brand-E,100mg,Tablet,90,8073,84588.69,484.21,5.03,Hetero Unit III,No,2015-07-20,2015-09-11,2015-09-11,2015-09-11,0,8073.94,4069.9,845.89,2015,9,3,September
836,PC-26907,PQS,PO680526,ASN71040,Nigeria,PMO - NG,From RDC,DDP,Air,HIV test,Sub-16,Ranbaxy Fine Chemicals Limited,Medicine D 100mg,Type-11,Brand-F,200mg,Tablet,100,322,26497.18,285.65,3.55,Aurobindo Unit III,Yes,2015-06-09,2015-08-08,2015-08-13,2015-08-14,5,268.64,934.06,264.97,2015,8,3,August
837,PC-28777,PQ,PO512610,ASN68900,South Africa,PMO - NG,From RDC,DDP,Ocean,Emergency,Sub-17,"Aurobindo Unit III, India",Medicine E 100mg,Type-12,Brand-G,200mg,Tablet,120,6193,28790.05,353.55,0.82,Aurobindo Unit III,No,2015-01-04,2015-02-11,2015-02-11,2015-02-12,0,7010.66,6224.42,287.9,2015,2,1,February
838,PC-61745,PQ,PO416015,ASN25494,Vietnam,PMO - SA,From RDC,EXW,Ocean,Emergency,Sub-18,Hetero Unit III India,Medicine F 100mg,Type-13,Brand-H,50mg,Tablet,60,284,8677.09,251.99,4.99,Matrix,Yes,2015-01-15,2015-03-21,2015-03-21,2015-03-21,0,162.44,91.36,86.77,2015,3,1,March
839,PC-91818,PQ,PO987104,ASN55166,Uganda,PMO - NG,Direct Drop,FCA,Ocean,HIV test,Sub-19,"Aurobindo Unit III, India",Medicine G 100mg,Type-14,Brand-I,50mg,Solution,100,194,54312.66,479.17,7.77,Ranbaxy,No,2015-07-28,2015-09-28,2015-10-05,2015-10-08,7,185.2,107.08,543.13,2015,10,4,October
840,PC-33624,PQ,PO570938,ASN35333,South Africa,PMO - NG,From RDC,FCA,Ocean,ARV,Sub-20,Cipla Ltd.,Medicine H 100mg,Type-15,Brand-J,50mg,Capsule,100,3972,37224.53,296.66,9.53,Matrix,No,2015-06-30,2015-09-26,2015-10-01,2015-10-03,5,3638.91,4638.1,372.25,2015,10,4,October
841,PC-33321,PQ,PO396751,ASN43050,South Africa,PMO - SA,Direct Drop,DDP,Truck,ANTIMALARIA,Sub-1,"Aurobindo Unit III, India",Medicine I 100mg,Type-1,Brand-A,200mg,Capsule,120,783,34631.08,332.68,0.86,Matrix,Yes,2015-02-27,2015-05-20,2015-05-25,2015-05-28,5,912.52,289.46,346.31,2015,5,2,May
842,PC-20488,PQ,PO152055,ASN89566,Zambia,PMO - SA,From RDC,FCA,Ocean,ANTIMALARIA,Sub-2,Cipla Ltd.,Medicine J 100mg,Type-2,Brand-B,50mg,Solution,120,1075,46305.63,431.11,7.99,Matrix,Yes,2015-04-30,2015-06-26,2015-06-25,2015-06-27,-1,1421.48,2018.56,463.06,2015,6,2,June
843,PC-32574,PQ,PO204509,ASN98257,Uganda,PMO - US,Direct Drop,CIF,Ocean,HRDT,Sub-3,"Aurobindo Unit III, India",Medicine K 100mg,Type-3,Brand-C,200mg,Tablet,60,7446,85119.05,431.47,2.74,Matrix,Yes,2015-06-27,2015-09-06,2015-09-05,2015-09-05,-1,4600.15,4005.96,851.19,2015,9,3,September
844,PC-15240,PQS,PO235467,ASN58070,South Africa,PMO - SA,From RDC,EXW,Air,Safety,Sub-4,Cipla Ltd.,Medicine L 100mg,Type-4,Brand-D,100mg,Capsule,120,8149,11413.67,18.94,8.25,Matrix,Yes,2015-01-05,2015-03-15,2015-03-15,2015-03-17,0,10237.7,24887.58,114.14,2015,3,1,March
845,PC-53221,Non-PQ,PO751666,ASN15166,Uganda,PMO - US,From RDC,FCA,Air,HRDT,Sub-5,Cipla Ltd.,Medicine M 100mg,Type-5,Brand-E,200mg,Solution,100,7568,52835.77,145.23,3.49,Cipla,Yes,2015-07-02,2015-08-15,2015-08-14,2015-08-17,-1,8289.93,37989.86,528.36,2015,8,3,August
846,PC-20478,PQ,PO508506,ASN17121,South Africa,PMO - NG,Direct Drop,EXW,Air,HIV test,Sub-6,Hetero Unit III India,Medicine N 100mg,Type-6,Brand-F,200mg,Capsule,120,160,20447.07,126.93,1.23,Ranbaxy,No,2015-04-19,2015-06-07,2015-06-08,2015-06-08,1,206.72,633.25,204.47,2015,6,2,June
847,PC-65645,PQS,PO187687,ASN24677,Vietnam,PMO - US,From RDC,CIF,Air Charter,Emergency,Sub-7,Matrix Laboratories,Medicine O 100mg,Type-7,Brand-G,100mg,Solution,60,6315,22026.73,8.29,6.16,Ranbaxy,Yes,2015-01-26,2015-02-27,2015-02-28,2015-03-01,1,3123.11,19626.47,220.27,2015,2,1,February
848,PC-29262,PQ,PO427222,ASN66561,Côte d'Ivoire,PMO - SA,Direct Drop,EXW,Ocean,ANTIMALARIALS,Sub-8,Matrix Laboratories,Medicine P 100mg,Type-8,Brand-H,50mg,Solution,60,1560,26416.79,439.01,8.95,Ranbaxy,Yes,2015-02-14,2015-03-21,2015-03-21,2015-03-24,0,938.71,932.54,264.17,2015,3,1,March
849,PC-62796,PQ,PO496907,ASN91909,Vietnam,PMO - NG,From RDC,CIF,Air,Emergency,Sub-9,Hetero Unit III India,Medicine Q 100mg,Type-9,Brand-I,50mg,Capsule,60,8773,46480.77,161.98,1.9,Cipla,Yes,2015-04-26,2015-06-13,2015-06-14,2015-06-17,1,5257.09,19944.36,464.81,2015,6,2,June
850,PC-14432,PQ,PO500686,ASN97409,Vietnam,PMO - US,Direct Drop,DDP,Air Charter,Emergency,Sub-10,Cipla Ltd.,Medicine R 100mg,Type-10,Brand-J,200mg,Tablet,120,4178,49945.6,176.74,0.32,Cipla,No,2015-06-19,2015-09-03,2015-08-31,2015-09-04,-3,4346.99,20495.71,499.46,2015,8,3,August
851,PC-74291,PQ,PO202652,ASN47664,South Africa,PMO - US,Direct Drop,FCA,Air,ANTIMALARIALS,Sub-11,Matrix Laboratories,Medicine S 100mg,Type-11,Brand-A,200mg,Tablet,90,5425,87279.61,54.31,8.85,Cipla,No,2015-04-03,2015-06-14,2015-06-17,2015-06-17,3,5614.56,17901.17,872.8,2015,6,2,June
852,PC-89104,PQ,PO425341,ASN11293,Vietnam,PMO - US,From RDC,DDP,Air,ARV,Sub-12,Matrix Laboratories,Medicine T 100mg,Type-12,Brand-B,100mg,Solution,60,6101,89319.1,494.91,7.01,Aurobindo Unit III,No,2015-01-30,2015-04-27,2015-04-27,2015-04-28,0,3227.87,9316.06,893.19,2015,4,2,April
853,PC-69399,PQ,PO680061,ASN32443,Vietnam,PMO - NG,From RDC,FCA,Ocean,ANTIMALARIA,Sub-13,"Aurobindo Unit III, India",Medicine U 100mg,Type-13,Brand-C,50mg,Tablet,90,5751,59079.76,413.99,8.11,Ranbaxy,No,2015-08-12,2015-10-02,2015-10-07,2015-10-07,5,4923.31,6284.66,590.8,2015,10,4,October
854,PC-89714,PQS,PO619846,ASN59212,Vietnam,PMO - US,From RDC,DDP,Ocean,HIV test,Sub-14,Ranbaxy Fine Chemicals Limited,Medicine V 100mg,Type-14,Brand-D,100mg,Capsule,30,3751,28859.01,288.07,0.69,Hetero Unit III,No,2015-05-16,2015-07-05,2015-07-10,2015-07-11,5,1106.59,1419.8,288.59,2015,7,3,July
855,PC-60428,PQS,PO302668,ASN94131,South Africa,PMO - US,From RDC,CIF,Ocean,ANTIMALARIALS,Sub-15,Hetero Unit III India,Medicine W 100mg,Type-15,Brand-E,200mg,Solution,60,7845,82025.26,387.11,8.92,Matrix,Yes,2015-03-18,2015-04-23,2015-04-26,2015-04-26,3,5124.11,7656.63,820.25,2015,4,2,April
856,PC-97731,PQ,PO651872,ASN85276,Haiti,PMO - SA,From RDC,FCA,Ocean,HRDT,Sub-16,Ranbaxy Fine Chemicals Limited,Medicine X 100mg,Type-1,Brand-F,200mg,Capsule,90,8108,79495.32,389.67,4.25,Aurobindo Unit III,No,2015-07-04,2015-09-19,2015-09-20,2015-09-24,1,7094.06,10629.58,794.95,2015,9,3,September
857,PC-10302,Non-PQ,PO869189,ASN22559,Côte d'Ivoire,PMO - US,Direct Drop,DDP,Ocean,HIV test,Sub-17,Cipla Ltd.,Medicine Y 100mg,Type-2,Brand-G,100mg,Capsule,90,9466,79997.39,330.08,8.99,Aurobindo Unit III,No,2015-04-01,2015-05-10,2015-05-10,2015-05-13,0,7804.76,4657.71,799.97,2015,5,2,May
858,PC-92558,PQ,PO497516,ASN75231,Nigeria,PMO - NG,From RDC,EXW,Truck,ARV,Sub-18,"Aurobindo Unit III, India",Medicine Z 100mg,Type-3,Brand-H,100mg,Tablet,100,6650,2620.39,91.14,0.74,Matrix,No,2015-04-08,2015-07-04,2015-07-25,2015-07-25,21,7659.39,4786.35,26.2,2015,7,3,July
859,PC-10055,PQ,PO889770,ASN49044,Uganda,PMO - SA,From RDC,EXW,Truck,HIV test,Sub-19,Matrix Laboratories,Medicine A 100mg,Type-4,Brand-I,500mg,Capsule,90,3906,75632.52,361.56,8.86,Aurobindo Unit III,Yes,2015-03-16,2015-05-03,2015-05-17,2015-05-19,14,3628.51,2989.05,756.33,2015,5,2,May
860,PC-18717,PQ,PO162601,ASN31747,Haiti,PMO - NG,Direct Drop,DDP,Air Charter,ANTIMALARIALS,Sub-20,"Aurobindo Unit III, India",Medicine B 100mg,Type-5,Brand-J,500mg,Solution,100,8781,85419.23,286.96,6.77,Cipla,No,2015-04-08,2015-06-15,2015-06-20,2015-06-20,5,7545.34,50433.22,854.19,2015,6,2,June
861,PC-38699,PQ,PO236559,ASN83509,Zimbabwe,PMO - SA,Direct Drop,CIF,Truck,Safety,Sub-1,Hetero Unit III India,Medicine C 100mg,Type-6,Brand-A,50mg,Solution,90,996,60898.26,363.42,5.59,Aurobindo Unit III,Yes,2015-03-12,2015-05-08,2015-05-22,2015-05-23,14,907.74,580.62,608.98,2015,5,2,May
862,PC-83686,PQ,PO136282,ASN90869,Côte d'Ivoire,PMO - SA,From RDC,DDP,Ocean,ARV,Sub-2,Cipla Ltd.,Medicine D 100mg,Type-7,Brand-B,100mg,Capsule,90,4400,75373.18,274.01,0.71,Ranbaxy,No,2015-09-23,2015-11-05,2015-11-19,2015-11-22,14,4232.07,2536.63,753.73,2015,11,4,November
863,PC-77661,PQ,PO326137,ASN40129,Haiti,PMO - US,Direct Drop,EXW,Ocean,Emergency,Sub-3,"Aurobindo Unit III, India",Medicine E 100mg,Type-8,Brand-C,50mg,Capsule,30,2818,77840.85,478.39,6.92,Ranbaxy,Yes,2015-03-11,2015-05-07,2015-05-08,2015-05-08,1,873.54,846.26,778.41,2015,5,2,May
864,PC-54247,PQ,PO477591,ASN10037,Vietnam,PMO - NG,From RDC,FCA,Ocean,HRDT,Sub-4,"Aurobindo Unit III, India",Medicine F 100mg,Type-9,Brand-D,500mg,Solution,90,5100,51151.76,315.38,6.02,Hetero Unit III,Yes,2015-06-24,2015-08-12,2015-08-12,2015-08-12,0,4879.34,7105.84,511.52,2015,8,3,August
865,PC-26748,PQS,PO720086,ASN58503,Nigeria,PMO - US,Direct Drop,FCA,Air Charter,HRDT,Sub-5,,Medicine G 100mg,Type-10,Brand-E,50mg,Tablet,120,8309,81548.45,288.97,7.29,Ranbaxy,No,2015-02-21,2015-04-29,2015-04-29,2015-04-30,0,10334.0,59443.77,815.48,2015,4,2,April
866,PC-14621,PQ,PO755251,ASN38207,South Africa,PMO - SA,Direct Drop,DDP,Ocean,ANTIMALARIALS,Sub-6,Matrix Laboratories,Medicine H 100mg,Type-11,Brand-F,500mg,Tablet,120,7650,79436.81,422.18,7.2,Matrix,Yes,2015-05-31,2015-08-02,2015-08-03,2015-08-06,1,8554.08,4520.4,794.37,2015,8,3,August
867,PC-25034,PQ,PO995043,ASN43241,Zambia,PMO - US,Direct Drop,FCA,Air,ARV,Sub-7,Cipla Ltd.,Medicine I 100mg,Type-12,Brand-G,100mg,Tablet,120,6979,91694.33,192.72,4.49,Matrix,No,2015-05-18,2015-06-21,2015-06-26,2015-06-30,5,7010.57,22457.11,916.94,2015,6,2,June
868,PC-15126,PQ,PO259876,ASN10058,Nigeria,PMO - SA,From RDC,EXW,Air Charter,HRDT,Sub-8,Matrix Laboratories,Medicine J 100mg,Type-13,Brand-H,100mg,Capsule,30,4838,92215.99,161.32,2.13,Ranbaxy,Yes,2015-05-30,2015-07-03,2015-07-04,2015-07-05,1,1631.39,9578.8,922.16,2015,7,3,July
869,PC-15122,PQ,PO765275,ASN78172,Côte d'Ivoire,PMO - SA,Direct Drop,FCA,Air Charter,ARV,Sub-9,"Aurobindo Unit III, India",Medicine K 100mg,Type-14,Brand-I,50mg,Capsule,90,4176,53441.74,254.07,9.2,Cipla,No,2015-04-07,2015-07-03,2015-07-04,2015-07-08,1,3711.44,25819.06,534.42,2015,7,3,July
870,PC-28030,PQ,PO373302,ASN24834,Zambia,PMO - NG,From RDC,DDP,Air Charter,HIV test,Sub-10,,Medicine L 100mg,Type-15,Brand-J,100mg,Solution,30,8833,4117.89,294.31,9.26,Ranbaxy,Yes,2015-08-24,2015-10-11,2015-10-08,2015-10-10,-3,2738.11,13449.87,41.18,2015,10,4,October
871,PC-92838,PQS,PO305229,ASN91113,South Africa,PMO - NG,From RDC,DDP,Air,Safety,Sub-11,Matrix Laboratories,Medicine M 100mg,Type-1,Brand-A,50mg,Solution,90,7775,2891.58,114.14,2.2,Cipla,No,2015-03-22,2015-04-26,2015-05-01,2015-05-03,5,6876.82,25753.66,28.92,2015,5,2,May
872,PC-94717,PQ,PO110547,ASN37190,Nigeria,PMO - NG,From RDC,DDP,Ocean,ANTIMALARIA,Sub-12,Hetero Unit III India,Medicine N 100mg,Type-2,Brand-B,50mg,Solution,100,297,93953.74,342.73,6.34,Matrix,Yes,2015-08-24,2015-10-03,2015-10-02,2015-10-02,-1,288.56,194.33,939.54,2015,10,4,October
873,PC-65658,PQ,PO450857,ASN82832,Zimbabwe,PMO - NG,Direct Drop,EXW,Ocean,ANTIMALARIA,Sub-13,Ranbaxy Fine Chemicals Limited,Medicine O 100mg,Type-3,Brand-C,500mg,Solution,30,1365,34398.75,402.18,2.11,Ranbaxy,Yes,2015-04-20,2015-05-29,2015-06-12,2015-06-16,14,448.74,500.8,343.99,2015,6,2,June
874,PC-48638,PQ,PO364603,ASN31383,Uganda,PMO - US,From RDC,CIF,Ocean,ANTIMALARIA,Sub-14,Ranbaxy Fine Chemicals Limited,Medicine P 100mg,Type-4,Brand-D,200mg,Tablet,120,5221,38375.79,290.77,8.63,Hetero Unit III,Yes,2015-06-26,2015-08-07,2015-08-06,2015-08-09,-1,6167.15,6302.64,383.76,2015,8,3,August
875,PC-77067,PQ,PO163146,ASN34660,Uganda,PMO - NG,Direct Drop,FCA,Air,HRDT,Sub-15,,Medicine Q 100mg,Type-5,Brand-E,50mg,Capsule,120,1076,47520.89,263.87,1.07,Matrix,Yes,2015-01-03,2015-02-04,2015-02-09,2015-02-09,5,1382.0,6327.35,475.21,2015,2,1,February
876,PC-98869,PQ,PO465721,ASN12674,Côte d'Ivoire,PMO - NG,Direct Drop,DDP,Ocean,ANTIMALARIALS,Sub-16,Hetero Unit III India,Medicine R 100mg,Type-6,Brand-F,500mg,Capsule,120,708,27314.1,150.85,9.9,Hetero Unit III,No,2015-04-30,2015-06-10,2015-06-15,2015-06-18,5,719.41,692.26,273.14,2015,6,2,June
877,PC-44674,PQ,PO732049,ASN32820,Haiti,PMO - NG,From RDC,CIF,Air,ANTIMALARIA,Sub-17,Matrix Laboratories,Medicine S 100mg,Type-7,Brand-G,500mg,Tablet,90,564,59451.01,455.24,6.15,Matrix,Yes,2015-06-25,2015-09-19,2015-09-26,2015-09-28,7,435.79,1244.87,594.51,2015,9,3,September
878,PC-45854,Non-PQ,PO465871,ASN95040,South Africa,PMO - SA,From RDC,DDP,Ocean,Emergency,Sub-18,Matrix Laboratories,Medicine T 100mg,Type-8,Brand-H,500mg,Solution,90,9319,78677.42,378.48,0.33,Aurobindo Unit III,No,2015-03-22,2015-05-25,2015-05-26,2015-05-26,1,7776.85,8018.11,786.77,2015,5,2,May
879,PC-56271,PQ,PO412604,ASN35666,South Africa,PMO - SA,From RDC,DDP,Air Charter,Safety,Sub-19,Cipla Ltd.,Medicine U 100mg,Type-9,Brand-I,200mg,Solution,30,1361,26476.82,242.74,8.83,Aurobindo Unit III,Yes,2015-03-28,2015-05-16,2015-05-17,2015-05-20,1,312.53,1949.53,264.77,2015,5,2,May
880,PC-83688,PQ,PO182970,ASN53794,Uganda,PMO - NG,From RDC,EXW,Truck,ANTIMALARIALS,Sub-20,Ranbaxy Fine Chemicals Limited,Medicine V 100mg,Type-10,Brand-J,100mg,Capsule,60,7657,74563.06,331.26,6.88,Aurobindo Unit III,No,2015-04-18,2015-07-04,2015-07-01,2015-07-04,-3,4657.91,1698.09,745.63,2015,7,3,July
881,PC-48518,PQ,PO816177,ASN12076,Nigeria,PMO - SA,From RDC,EXW,Air,Safety,Sub-1,Matrix Laboratories,Medicine W 100mg,Type-11,Brand-A,50mg,Solution,90,2129,67529.9,171.76,7.0,Hetero Unit III,Yes,2015-03-14,2015-06-05,2015-06-12,2015-06-15,7,1702.52,6317.72,675.3,2015,6,2,June
882,PC-20267,PQ,PO269319,ASN74854,South Africa,PMO - SA,Direct Drop,CIF,Ocean,ANTIMALARIA,Sub-2,Cipla Ltd.,Medicine X 100mg,Type-12,Brand-B,50mg,Capsule,60,1917,53032.76,34.61,2.82,Cipla,Yes,2015-06-12,2015-07-16,2015-07-17,2015-07-21,1,1109.82,1325.37,530.33,2015,7,3,July
883,PC-11062,PQ,PO639707,ASN62342,Zimbabwe,PMO - US,Direct Drop,DDP,Air,HIV test,Sub-3,Ranbaxy Fine Chemicals Limited,Medicine Y 100mg,Type-13,Brand-C,100mg,Tablet,60,340,33218.77,105.94,3.43,Matrix,Yes,2015-01-14,2015-03-05,2015-04-04,2015-04-07,30,195.22,908.48,332.19,2015,4,2,April
884,PC-60448,Non-PQ,PO659865,ASN47555,Zimbabwe,PMO - SA,From RDC,FCA,Air,Safety,Sub-4,Cipla Ltd.,Medicine Z 100mg,Type-14,Brand-D,100mg,Capsule,90,5834,87404.67,44.35,9.15,Aurobindo Unit III,No,2015-08-13,2015-10-31,2015-10-31,2015-11-04,0,4911.89,12970.96,874.05,2015,10,4,October
885,PC-16229,PQ,PO102921,ASN65208,South Africa,PMO - US,From RDC,FCA,Air Charter,ANTIMALARIA,Sub-5,Cipla Ltd.,Medicine A 100mg,Type-15,Brand-E,500mg,Tablet,30,2956,40876.81,256.55,6.39,Hetero Unit III,Yes,2015-09-17,2015-11-22,2015-11-23,2015-11-24,1,759.09,4421.83,408.77,2015,11,4,November
886,PC-66793,PQ,PO579177,ASN42406,South Africa,PMO - SA,From RDC,FCA,Air Charter,ANTIMALARIALS,Sub-6,Hetero Unit III India,Medicine B 100mg,Type-1,Brand-F,500mg,Solution,60,5714,38091.64,312.92,0.27,Matrix,Yes,2015-02-14,2015-04-25,2015-04-26,2015-04-28,1,3591.93,15206.67,380.92,2015,4,2,April
887,PC-57915,PQ,PO542900,ASN71572,Uganda,PMO - NG,Direct Drop,CIF,Air Charter,HRDT,Sub-7,"Aurobindo Unit III, India",Medicine C 100mg,Type-2,Brand-G,100mg,Capsule,30,7328,64495.71,193.32,3.34,Aurobindo Unit III,Yes,2015-03-02,2015-05-04,2015-05-05,2015-05-09,1,2340.03,10896.35,644.96,2015,5,2,May
888,PC-14632,PQ,PO244535,ASN50262,Côte d'Ivoire,PMO - SA,Direct Drop,EXW,Ocean,Safety,Sub-8,"Aurobindo Unit III, India",Medicine D 100mg,Type-3,Brand-H,50mg,Solution,30,1861,92112.83,267.43,6.03,Aurobindo Unit III,No,2015-09-14,2015-10-18,2015-10-18,2015-10-20,0,589.55,840.24,921.13,2015,10,4,October
889,PC-13596,PQ,PO621317,ASN96661,Uganda,PMO - SA,From RDC,CIF,Truck,Emergency,Sub-9,"Aurobindo Unit III, India",Medicine E 100mg,Type-4,Brand-I,100mg,Solution,90,7010,51293.77,47.29,1.57,Aurobindo Unit III,No,2015-02-14,2015-05-06,2015-05-06,2015-05-08,0,6128.74,5864.61,512.94,2015,5,2,May
890,PC-16168,PQ,PO780834,ASN33216,Côte d'Ivoire,PMO - US,From RDC,EXW,Air,HIV test,Sub-10,Cipla Ltd.,Medicine F 100mg,Type-5,Brand-J,100mg,Solution,60,5671,72546.38,386.13,1.07,Hetero Unit III,No,2015-01-29,2015-03-14,2015-03-15,2015-03-17,1,3349.45,7114.14,725.46,2015,3,1,March
891,PC-17561,PQ,PO927367,ASN78117,Vietnam,PMO - NG,Direct Drop,FCA,Air,ANTIMALARIALS,Sub-11,Matrix Laboratories,Medicine G 100mg,Type-6,Brand-A,200mg,Capsule,30,7544,46231.42,21.23,0.69,Cipla,Yes,2015-08-03,2015-09-08,2015-09-13,2015-09-16,5,1970.83,7100.94,462.31,2015,9,3,September
892,PC-83794,PQ,PO749822,ASN91136,Zimbabwe,PMO - US,Direct Drop,FCA,Air,ARV,Sub-12,"Aurobindo Unit III, India",Medicine H 100mg,Type-7,Brand-B,200mg,Solution,60,9474,22661.96,319.04,6.34,Aurobindo Unit III,No,2015-07-02,2015-08-21,2015-08-26,2015-08-27,5,5542.31,13371.3,226.62,2015,8,3,August
893,PC-92152,PQS,PO560221,ASN40284,Côte d'Ivoire,PMO - NG,From RDC,EXW,Air Charter,ANTIMALARIA,Sub-13,Matrix Laboratories,Medicine I 100mg,Type-8,Brand-C,500mg,Capsule,30,7506,13271.28,219.51,3.27,Aurobindo Unit III,Yes,2015-07-03,2015-09-15,2015-09-14,2015-09-14,-1,2176.17,14837.54,132.71,2015,9,3,September
